scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,dataset,frames,duration_s,num_vrus,lighting,weather,location,env_risk,trajectory_risk,vru_risk,mean_ttc
6096f098e044da4a_3834_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 14, 'advisory': 55, 'silent': 21}",0.9111111111111111,0.6111111111111112,1.0,0.0,0.0,0.0,-0.8920911642118463,1.0,4.8999999999999995,2.4477639198303223,0.898876404494382,0.3138888888888889,58.5258980499498,"{'intervention': 16, 'advisory': 51, 'silent': 23}",waymo,90,8.9,6,day,clear,waymo,0.4666227184390222,0.48446971604267586,0.2758367243736345,1.9140126705169678
6096f098e044da4a_3832_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 14, 'advisory': 55, 'silent': 9}",0.8974358974358975,0.7051282051282052,1.0,0.0,0.0,0.0,-0.8421113987387804,1.0,4.8999999999999995,2.4477639198303223,1.0389610389610389,0.36217948717948717,56.131353773535416,"{'intervention': 16, 'advisory': 51, 'silent': 11}",waymo,78,7.7,6,day,clear,waymo,0.4666227184390223,0.5300902230412,0.3100343599222562,1.6874728202819824
ed113a1f9f720267_201_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 23, 'advisory': 36, 'silent': 28}",0.9080459770114943,0.41379310344827586,0.782608695652174,0.0,0.0,0.0,-0.9258011150598808,0.0,4.1,1.7818090915679932,1.2790697674418605,0.29540229885057484,57.42219879042011,"{'intervention': 18, 'advisory': 40, 'silent': 29}",waymo,87,8.6,21,day,clear,waymo,0.4553778079978576,0.4028124998655004,0.4092771297900193,755.794189453125
ed113a1f9f720267_207_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 23, 'advisory': 36, 'silent': 25}",0.9047619047619048,0.42857142857142855,0.782608695652174,0.0,0.0,0.0,-0.9234359210928065,0.0,4.1000000000000005,1.7818090915679932,1.325301204819277,0.30595238095238103,56.579269025657744,"{'intervention': 18, 'advisory': 40, 'silent': 26}",waymo,84,8.3,21,day,clear,waymo,0.4553778079978575,0.41639171377977796,0.42379557470115403,698.5877685546875
2dfc9b44472687e5_3673_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 91},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.343916893005371,0.0,0.0,74.39603633982365,{'silent': 91},waymo,91,9.0,1,day,clear,waymo,0.43792338783161533,0.01146197575326701,0.25810562914379076,541.8301391601562
b6e95acbf4cfb49f_106_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 22, 'silent': 46}",0.5735294117647058,0.3235294117647059,0.0,0.0,0.0,0.0,-0.8352238991511037,0.0,0.0,4.350841999053955,3.432835820895523,0.12867647058823528,70.88616702652466,"{'advisory': 25, 'silent': 43}",waymo,68,6.699999999999999,7,day,clear,waymo,0.4666227184390222,0.1465338029160022,0.20176367161447925,5.171422004699707
b6e95acbf4cfb49f_86_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 22, 'silent': 29}",0.43137254901960786,0.43137254901960786,0.0,0.0,0.0,0.0,-0.8660254037844386,0.0,0.0,4.350841999053955,4.6,0.1715686274509804,69.89532120284953,"{'advisory': 25, 'silent': 26}",waymo,51,5.0,7,day,clear,waymo,0.4666227184390223,0.1282740802883506,0.2530515883646355,5.814043045043945
b6e95acbf4cfb49f_87_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 22, 'silent': 56}",0.6282051282051282,0.28205128205128205,0.0,0.0,0.0,0.0,-0.8083690144896982,0.0,0.0,4.350841999053955,2.987012987012987,0.11217948717948716,71.54995736978242,"{'advisory': 25, 'silent': 53}",waymo,78,7.7,7,day,clear,waymo,0.4666227184390223,0.1489329531250996,0.17723817663012292,4.9671549797058105
23e64af0cc14a40a_2145_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 26, 'silent': 38}",0.953125,0.40625,0.0,0.0,0.0,0.0,-0.8554929174856633,0.0,0.0,4.6272406578063965,0.7936507936507936,0.14765625,71.41767795020067,"{'advisory': 27, 'silent': 37}",waymo,64,6.300000000000001,67,day,clear,waymo,0.4553778079978576,0.09185775600557528,0.2537159016572584,519.8698120117188
23e64af0cc14a40a_2148_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 26, 'silent': 24}",0.94,0.52,0.0,0.0,0.0,0.0,-0.8634223759433802,0.0,0.0,4.6272406578063965,1.0204081632653061,0.18899999999999997,70.22494203317247,"{'advisory': 27, 'silent': 23}",waymo,50,4.9,67,day,clear,waymo,0.4553778079978576,0.10993358979769606,0.27539793176607763,519.97509765625
