scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,condition,dataset
scene-0103_34aaf645a4174c6c8ff1874e6b33ccf6_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 4}",0.4117647058823529,0.23529411764705882,0.0,0.0,0.0,0.0,-0.7905694150420949,0.0,0.0,5.779254636762074,0.12659756633902372,0.24705882352941172,57.513463072339285,"{'advisory': 12, 'silent': 5}",clean,nuscenes
scene-0103_b3412553d70f40b3a1d19a0eb8529a08_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 12, 'intervention': 2, 'silent': 6}",0.75,0.6,0.0,0.0,0.0,0.0,-0.8627635262664035,0.0,0.0,7.815466782298337,0.5262626092521175,0.1925,68.0949599718404,"{'advisory': 11, 'silent': 9}",clean,nuscenes
scene-0103_e147a4c07e06487592fb5d6135c27a78_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 13, 'intervention': 4, 'silent': 3}",0.65,0.65,0.0,0.0,0.0,0.0,-0.7947194142390263,0.0,0.0,7.211785952341847,0.5235191501734575,0.24499999999999994,63.83315968700922,"{'advisory': 14, 'silent': 6}",clean,nuscenes
scene-0103_996d9e039f7a4838ac48d5409ca89732_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 5}",0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,-0.8177595307636584,0.0,0.0,5.779254636762074,0.11977275754256962,0.23333333333333328,58.64722091760705,"{'advisory': 12, 'silent': 6}",clean,nuscenes
scene-0103_72137291381349428afb1038d4e5898c_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 5}",0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,-0.8177595307636584,0.0,0.0,5.779254636762074,0.11977275754256962,0.23333333333333328,58.64722091760705,"{'advisory': 12, 'silent': 6}",clean,nuscenes
scene-0103_c34cb46c7be6486a85ee49653850b174_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 6}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'advisory': 12, 'silent': 7}",clean,nuscenes
scene-0103_5d77c275683248658e7564ef24bf63b2_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 6}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'advisory': 12, 'silent': 7}",clean,nuscenes
scene-0103_3c7331d16ac6439e9bd5a57d75976446_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 12, 'intervention': 1, 'silent': 7}",0.8,0.6,0.0,0.0,0.0,0.0,-0.8671099695241199,0.0,0.0,7.967399571723729,0.5262928541850912,0.175,69.5919631948841,"{'advisory': 10, 'silent': 10}",clean,nuscenes
scene-0103_0809d64df9264121bead0772ee9b5984_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'intervention': 4, 'silent': 1}",0.5333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,-0.7676494735787384,0.0,0.0,7.211785952341847,0.714235309679574,0.25666666666666665,61.489647985027624,"{'advisory': 11, 'silent': 4}",clean,nuscenes
scene-0103_ad2ae385245f46d49b4d06f87e2ac544_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'intervention': 9, 'silent': 6}",0.47368421052631576,0.21052631578947367,0.0,0.0,0.0,0.0,-0.8366600265340756,0.0,0.0,5.779254636762074,0.1129995980604297,0.22105263157894733,59.5571095200669,"{'advisory': 12, 'silent': 7}",clean,nuscenes
