scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,ablation,dataset,env_risk,mean_traj_risk,mean_vru_risk,top_factor
scene-0061_95fc384cb4994ffe9a5caf914274ab22_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 8, 'advisory': 10, 'intervention': 2}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.3765989543609045,0.12828703346334197,environmental
scene-0061_0e79e7bed1d543c9a00acfbf90ff60b3_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'emergency': 3, 'advisory': 4, 'silent': 5, 'intervention': 3}",0.3333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,-0.8752550648647676,1.0,4.9987580000000005,2.677125974241124,0.5674882572492369,0.18,61.08128065069509,"{'advisory': 4, 'silent': 9, 'intervention': 2}",full,nuscenes,0.4553778079978576,0.54323855245476,0.14688168185825978,trajectory
scene-0061_1bc410ff237c4c48b9b7b094a9eaeb4d_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'silent': 9, 'intervention': 2}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.36963627383358133,0.12927065459037115,environmental
scene-0061_71603dd1a2ba4e9daf095535e38310ac_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 8, 'advisory': 10, 'intervention': 2}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.3765989543609045,0.12828703346334197,environmental
scene-0061_eb3da8843f614a90a48ddb6ee392c0c0_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 8, 'advisory': 10, 'intervention': 2}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978576,0.3765989543609045,0.12828703346334197,environmental
scene-0061_070412f6a4f944e6a0a9e01ac1ea1fee_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 9, 'advisory': 9, 'intervention': 2}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187909839326652,0.13999999999999999,67.0788960129716,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.3590979707181078,0.13110175151902867,environmental
scene-0061_e59d97d4403a48b88fbb6a58fc9959e6_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'silent': 9, 'intervention': 2}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.36963627383358133,0.12927065459037115,environmental
scene-0061_e1e148c7bcb14072822872a4cfc8e882_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'silent': 9, 'intervention': 2}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978576,0.36963627383358133,0.12927065459037115,environmental
scene-0061_f81722a685cc49eba454efbb3aec0331_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 8, 'advisory': 10, 'intervention': 2}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978576,0.3765989543609045,0.12828703346334197,environmental
scene-0061_acc1b985c3b746cdbb22fc59bb41b774_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'silent': 9, 'intervention': 2}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978576,0.36963627383358133,0.12927065459037115,environmental
scene-0061_73ee514c205c483da3d1d04282337457_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 9, 'silent': 9, 'intervention': 2}",0.75,0.45,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4187926501052322,0.13999999999999999,66.81767982736713,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.36963627383358133,0.12927065459037115,environmental
scene-0061_9e6d680cd81942f5acdfbb07254f8f45_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 8, 'silent': 10, 'intervention': 2}",0.8,0.4,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.42098469794295307,0.13999999999999999,67.39728682119569,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.3478910116289992,0.1316956836673338,environmental
scene-0061_1e775890010e4d97b74ca1d06441d023_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 11},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.844171317134732,0.0,0.0,78.03292927830381,{'silent': 11},full,nuscenes,0.4553778079978575,0.08681894268625868,0.038246337373137866,environmental
scene-0061_203a688b840844b8ae16a2b07967ffad_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 11},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.844171317134732,0.0,0.0,78.03292927830381,{'silent': 11},full,nuscenes,0.4553778079978575,0.08681894268625868,0.038246337373137866,environmental
scene-0103_3b19bb63d0924f4da3034819357d6c8b_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 4, 'intervention': 9}",0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,-0.6076436202501999,0.0,0.0,5.779254636762074,0.15626379516316674,0.3,53.12647438517053,"{'silent': 2, 'advisory': 12}",full,nuscenes,0.4553778079978576,0.8090241955228435,0.14625624764099515,trajectory
