scene_id,dataset,mean_score
scene-0553_18cdcf0d2340409b95140ea38a70fd2e_clip000,nuscenes,76.33798247
scene-0553_2397a588f42e4195bf7fb0148aa7a3d6_clip000,nuscenes,76.78309535
scene-0655_433e28f80ae9462eb927089896b5f669_clip000,nuscenes,68.75574354
scene-0655_fe199544817e496aa7708a1db0af2108_clip000,nuscenes,68.75574354
scene-0655_99d539b687cb4a46b8f1efc7204aa160_clip000,nuscenes,67.66422184
scene-0757_4b086f653d5a47a79f73f1d4a4d956d8_clip000,nuscenes,80.34303067
scene-0757_3c16d6997c70488ab7e9dfd0fbec962e_clip000,nuscenes,80.34303067
scene-0796_a9ba2ffc5a95458c9bd1052be9bc24ad_clip000,nuscenes,60.91107254
scene-0916_4591a9f392774001a2cf523286505ac9_clip000,nuscenes,68.2474494
scene-0916_c8fcea5cd6d344e69a92241622f58be7_clip000,nuscenes,67.97909029
scene-0916_cb5fdffa966345cdb9c7c186143b7857_clip000,nuscenes,68.14627174
scene-0916_de7bc639112c40ec9ebe406673f1487d_clip000,nuscenes,68.14627174
scene-0916_c2c271c1bc484bce81639bfda2083588_clip000,nuscenes,67.49198713
scene-0916_af7483c35ffa4ad193d14bbac3b0ab4e_clip000,nuscenes,68.39519916
scene-0916_ebcd168fd25247f68482853796c9327f_clip000,nuscenes,68.14627174
scene-0916_9256b7cc27954e7bb5e3a3fb8c62474c_clip000,nuscenes,67.88809808
scene-0916_eeabbd601fff49c08c086829bfe13287_clip000,nuscenes,68.14627174
scene-0916_54ca0158a30a4d8291684544ddbeff3f_clip000,nuscenes,68.14627174
scene-0916_b825554384e042baba291f6f75c1ba49_clip000,nuscenes,68.2474494
scene-0916_b7ff9843f0bc4154a865230adb65a45d_clip000,nuscenes,67.97909029
scene-0916_4b8ef2beabcf4121af0f287cd1a7fd55_clip000,nuscenes,68.2474494
scene-0916_89eaf741be444d7e8fcc4748482d338d_clip000,nuscenes,67.88809808
scene-0916_e5a06b589b93428c867bd6a92ed6da93_clip000,nuscenes,67.97909029
scene-0916_68d411d0e8664a09b4c59787793b0b87_clip000,nuscenes,67.88809808
scene-0916_c6d85e602dd342d99758b41e64e86e12_clip000,nuscenes,68.2474494
scene-0916_c5a370e03491457485bfda760515e537_clip000,nuscenes,68.2474494
scene-1094_55f7fb5fa2854b0da825c2cd1c94b23b_clip000,nuscenes,58.27205247
scene-1094_47304f98d3d3484d8af8d5e4c7428022_clip000,nuscenes,54.61511883
scene-1094_3543efbc49b147c6a7151e945b999fe5_clip000,nuscenes,58.28876953
scene-1094_d61323aefb8640da9d5258fae57c2d1c_clip000,nuscenes,58.28876953
scene-1094_9777aa985269472595ff1ee88420008f_clip000,nuscenes,58.27205247
scene-1094_e6505be7823b40858d669c34afba37c4_clip000,nuscenes,54.04960924
scene-1094_9441225cd01f4730a02b5d8927063f53_clip000,nuscenes,49.35753836
scene-1094_dc534f142fbf42afbdd38a1afae9df7f_clip000,nuscenes,61.21439466
scene-1094_2c761ca3c6e745ab8b7553a3f3dc937e_clip000,nuscenes,56.8723412
scene-1094_155047a77309452a908e6c96ddd60b55_clip000,nuscenes,54.35189235
scene-1094_8e992e7479094a61a550b951c1451092_clip000,nuscenes,54.04960924
scene-1094_c530e58bfaaf4ba38bf0f66c11381d7b_clip000,nuscenes,54.04960924
scene-1094_029357560fcc41db9973bd656d63547d_clip000,nuscenes,47.84560233
scene-1094_19f0484e0ec84c0eb64c92698fe5e7e3_clip000,nuscenes,45.27226635
scene-1094_98e2b15c113a477a9f291b25194cab62_clip000,nuscenes,44.87260727
scene-1094_1ab7d92d3ed3455ea628c6962906d4e7_clip000,nuscenes,45.34150925
scene-1100_0b2ba0a3a3874e4a9863541a7a65ec00_clip000,nuscenes,76.85699939
scene-1100_47b04d517ed64f92ad6af4c11233de34_clip000,nuscenes,77.96609939
scene-1100_baa84e9048974b67a0c168a8bf946d3e_clip000,nuscenes,76.85699939
scene-1100_7a88efefda9f4fc3a30fa6a655978ada_clip000,nuscenes,78.13301021
scene-1100_7c7ea45167174debb191420c7fb99649_clip000,nuscenes,77.83820052
scene-1100_7b644b3fb6634f13bf30402c70770e3b_clip000,nuscenes,77.11532608
scene-1100_1c6ea643f2d04632ac5624e0072aa659_clip000,nuscenes,77.49653514
scene-1100_60e1ec6251134f9a8e2031b871a455d1_clip000,nuscenes,77.08405857
near_miss_0000,prism_ar_synthetic,44.32803948
near_miss_0001,prism_ar_synthetic,44.32953843
near_miss_0002,prism_ar_synthetic,45.44633228
near_miss_0003,prism_ar_synthetic,44.4169169
near_miss_0004,prism_ar_synthetic,45.31081058
near_miss_0005,prism_ar_synthetic,44.689281
near_miss_0006,prism_ar_synthetic,44.43242863
near_miss_0007,prism_ar_synthetic,44.59278352
near_miss_0008,prism_ar_synthetic,44.63713769
near_miss_0009,prism_ar_synthetic,44.26499951
near_miss_0010,prism_ar_synthetic,42.04820895
near_miss_0011,prism_ar_synthetic,41.90757407
near_miss_0012,prism_ar_synthetic,42.47153158
near_miss_0013,prism_ar_synthetic,42.88472891
near_miss_0014,prism_ar_synthetic,43.37725874
near_miss_0015,prism_ar_synthetic,42.44734262
near_miss_0016,prism_ar_synthetic,43.10460499
near_miss_0017,prism_ar_synthetic,42.77721883
near_miss_0018,prism_ar_synthetic,43.31655853
near_miss_0019,prism_ar_synthetic,42.89389786
near_miss_0020,prism_ar_synthetic,53.82750932
near_miss_0021,prism_ar_synthetic,53.54040873
near_miss_0022,prism_ar_synthetic,53.46938214
near_miss_0023,prism_ar_synthetic,54.20208754
near_miss_0024,prism_ar_synthetic,53.85022203
near_miss_0025,prism_ar_synthetic,54.59130597
near_miss_0026,prism_ar_synthetic,53.64466937
near_miss_0027,prism_ar_synthetic,53.92279123
near_miss_0028,prism_ar_synthetic,54.28022702
near_miss_0029,prism_ar_synthetic,54.79533392
near_miss_0030,prism_ar_synthetic,52.29827479
near_miss_0031,prism_ar_synthetic,52.54402306
near_miss_0032,prism_ar_synthetic,52.50889975
near_miss_0033,prism_ar_synthetic,52.71576008
near_miss_0034,prism_ar_synthetic,53.23860089
near_miss_0035,prism_ar_synthetic,52.69670219
near_miss_0036,prism_ar_synthetic,51.80257403
near_miss_0037,prism_ar_synthetic,52.98507503
near_miss_0038,prism_ar_synthetic,52.29762499
near_miss_0039,prism_ar_synthetic,51.91637859
near_miss_0040,prism_ar_synthetic,40.53638382
near_miss_0041,prism_ar_synthetic,40.52415422
near_miss_0042,prism_ar_synthetic,41.48974941
near_miss_0043,prism_ar_synthetic,40.48419875
near_miss_0044,prism_ar_synthetic,41.17302126
near_miss_0045,prism_ar_synthetic,40.88372
near_miss_0046,prism_ar_synthetic,40.36884239
near_miss_0047,prism_ar_synthetic,40.3720589
near_miss_0048,prism_ar_synthetic,40.15949932
near_miss_0049,prism_ar_synthetic,40.3379682
near_miss_0050,prism_ar_synthetic,47.65245158
near_miss_0051,prism_ar_synthetic,48.61684354
near_miss_0052,prism_ar_synthetic,47.78449879
near_miss_0053,prism_ar_synthetic,48.40147375
near_miss_0054,prism_ar_synthetic,48.7012767
near_miss_0055,prism_ar_synthetic,47.95883162
near_miss_0056,prism_ar_synthetic,48.16453764
near_miss_0057,prism_ar_synthetic,48.03038173
near_miss_0058,prism_ar_synthetic,47.07568874
near_miss_0059,prism_ar_synthetic,47.6325886
